"Country","Healthcare System","Public Healthcare Access for Expats","GP Visit Cost","Private Insurance (Monthly)","Cost of Living Index","Rent 1BR City Center (USD)","Monthly Budget (Single)"
"Portugal","Universal SNS (public) + private","Yes, after legal residency registration","€5-€20 ($5-$22)","€35-€120 ($38-$130)","Lower than Spain","€1,200-€1,500 ($1,300-$1,630)","€740-€1,500 ($800-$1,630)"
"Spain","Universal SNS (public) + private","Yes, after 90+ days legal residence + empadronamiento","Free with health card","€50-€200 ($54-$217)","Barcelona: 59.2 Numbeo","€1,295 ($1,405) Barcelona","€1,000+ per person"
"Germany","Public + private (MANDATORY)","Yes, insurance required for visa/residence","Covered by insurance","Varies by type","Berlin: 69.98 Numbeo","Higher than Portugal/Spain","Higher than Southern Europe"
"Mexico","Public IMSS + private","Yes, with residency or IMSS enrollment","Low cost in public; $30-$60 private","$50-$150","21.6% lower than Barcelona","$900-$1,000 (Mexico City)","$800-$1,200"
"Costa Rica","Public Caja + private","Yes, via Caja enrollment with residency","Low cost public; $50-$100 private","$70-$200","Lower than most developed countries","$600-$1,000","$1,500-$2,500"
"Italy","Universal SSN (public) + private","Yes, after residence registration","Low cost with SSN card","€50-€150 ($54-$163)","Florence: 69.5; Rome: 63.4 Numbeo","€600-€1,200 varies by city","€1,200-€2,000"
"France","Universal public + private","Yes, with residence and social security","Covered by Carte Vitale","€50-€150 ($54-$163)","Paris expensive; provinces affordable","€1,000-€2,500+ (Paris)","€1,500-€3,000+ (Paris)"
"Canada","Provincial public healthcare","Yes, with provincial health card (waiting period varies)","Free with health card","$100-$300 for supplemental","Toronto expensive; provinces vary","CAD $1,800-$2,500 ($1,300-$1,800)","CAD $2,500-$4,000 ($1,800-$2,900)"
"Netherlands","Mandatory basic insurance","Yes, must purchase Dutch insurance","Covered by insurance","€120-€200 ($130-$217) mandatory basic","Amsterdam expensive","€1,500-€2,200 ($1,630-$2,390)","€2,000-€3,500 ($2,170-$3,800)"
"Australia","Medicare (public) + private","Limited for visa holders; varies by visa type","Subsidized with Medicare","AUD $150-$300 ($95-$190)","Sydney: 75.1 Numbeo","AUD $2,500-$3,500 ($1,600-$2,240)","AUD $3,500-$5,000 ($2,240-$3,200)"
"New Zealand","Public + private","Yes, with residency; limited for visa holders","Subsidized with residency","NZD $100-$250 ($60-$150)","Christchurch: 59.4 Numbeo","NZD $2,000-$3,000 ($1,200-$1,800)","NZD $3,000-$4,500 ($1,800-$2,700)"
"UK","NHS (public) + private","Yes, must pay Immigration Health Surcharge (£1,035/year)","Free with NHS","£50-£200 ($63-$252)","London: 87.52 Numbeo","£1,800-£2,500 ($2,270-$3,150)","£2,500-£4,000 ($3,150-$5,040)"
"Ireland","Public + private","Yes, with residency","Free/subsidized with Medical Card","€100-€250 ($108-$271)","Dublin expensive","€1,800-€2,500 ($1,955-$2,715)","€2,500-€4,000 ($2,715-$4,345)"
"Uruguay","Public + private","Yes, with residency","Low cost public; $40-$80 private","$100-$250","Lower than North America/Europe","$800-$1,500 (Montevideo)","$1,500-$2,500"
"Thailand","Public + private","Limited public; expats use private","$10-$30 public; $30-$80 private","$50-$150","Very affordable; Numbeo lower","$400-$800 (Bangkok)","$1,000-$2,000"
"Japan","Universal public (SHI)","Yes, mandatory enrollment with residence","¥3,000-¥5,000 ($20-$33) copay","¥10,000-¥30,000 ($67-$200)","Tokyo expensive; provinces affordable","¥100,000-¥180,000 ($670-$1,200)","¥200,000-¥350,000 ($1,340-$2,340)"
"Argentina","Public + private","Yes, public free; private common for expats","Free public; $20-$60 private","$50-$200","Buenos Aires affordable","$400-$800","$1,000-$2,000"