"Country","Language for Citizenship","Difficulty","Family Reunification Waiting Period","Eligible Family Members","Years to Permanent Residency","Years to Citizenship","Dual Citizenship Allowed?"
"Portugal","A2 CIPLE (basic Portuguese)","Easiest in EU","2 years legal residence (2025 reform); exceptions for minor children, highly qualified, Golden Visa holders","Spouse/partner, minor children, dependent adult children, parents (exceptional)","5 years","10 years (changed from 5 in 2025)","Yes"
"Spain","DELE A2 + CCSE exam","Easiest in EU","1 year legal residence","Spouse/partner, minor children, dependent children, parents","5 years","10 years (2 for Ibero-Americans)","Yes for certain countries"
"Germany","B1 Goethe-Zertifikat","Moderate","Varies by visa type","Spouse/partner, minor children","5 years","5 years (reduced from 8 in 2025)","Yes (since 2024)"
"Mexico","Spanish not required for residency; basic for citizenship","Moderate","Immediate with family link visa","Spouse, children, parents","4 years temporary","5 years after PR","Yes"
"Costa Rica","Spanish not required for residency; B1 for citizenship","Moderate","Varies","Spouse, minor children, dependent parents","3 years","7 years total","Yes"
"Italy","B1 Italian","Moderate","1 year legal residence","Spouse/partner, minor children, dependent adult children","5 years","10 years","Yes"
"France","B1 French","Moderate","Immediate for spouse/children of French resident","Spouse/partner, minor children","4 years (Talent Passport)","5 years","Yes"
"Canada","English/French not required for residency; CLB 4-6 for PR points","Moderate","Immediate (spouse/children included in PR application)","Spouse/common-law partner, dependent children","Immediate upon landing (Express Entry)","3 years (1095 days in 5 years)","Yes"
"Netherlands","A2 generally; B1 some municipalities","Easier to Moderate","Varies by visa","Spouse/partner, minor children","5 years","5 years","Yes (since 2023)"
"Australia","English not required for PR (points-based)","N/A for PR","Immediate (family included in skilled visa)","Spouse/partner, dependent children","Immediate upon landing (skilled visa)","4 years (including 1 year PR)","Yes"
"New Zealand","English not required for residency (points help)","N/A for PR","Immediate (family included in visa)","Spouse/partner, dependent children","Immediate upon landing (skilled migrant)","5 years","Yes"
"UK","English B1 for citizenship (Life in UK test)","Moderate","Immediate for spouse/children of visa holder","Spouse/partner, children under 18","5 years","5-6 years","Yes"
"Ireland","English not required; Irish helpful","N/A","Immediate for spouse/children of work permit holder","Spouse/partner, dependent children","5 years","5 years reckonable residence","Yes"
"Uruguay","Spanish not required for residency; basic for citizenship","Easy","Immediate","Spouse, children, dependent parents","Immediate (unique)","3-5 years after PR","Yes"
"Thailand","Thai not required for visas; basic for citizenship","Easy for visas","Varies by visa type","Spouse, children","3-10 years depending on visa","10+ years (very difficult)","Yes"
"Japan","Japanese not required for residence; JLPT N2 helpful for PR","Moderate","Immediate for dependent visa","Spouse, children","10 years work visa (5 years highly skilled)","Very difficult (10+ years, near-native language)","No (must renounce)"
"Argentina","Spanish not required for residency; basic for citizenship","Easy","Immediate","Spouse, children, parents","3 years temporary","2 years legal residence","Yes"