"Country","U.S. Tax Treaty?","FEIE Strategy","Foreign Tax Credit Strategy","Local Tax Incentives for Expats","Standard Local Income Tax Rate","Notes for U.S. Citizens"
"Portugal","Yes","Good for income under $130K","Use for high income","NHR 2.0 (TISRI):20% flat tax on Portuguese income (qualified professions); 10% on foreign pensions; 10-year benefit","13-48% progressive + solidarity surcharge (2.5-5%)","NHR 2.0 significantly reduces Portugal tax; still file U.S. taxes; combine FEIE + NHR benefits"
"Spain","Yes","Good for income under $130K","Use for high income","Limited expat-specific incentives; Beckham Law (special regime) for high earners","19-47% progressive + regional rates","Saving clause applies; FEIE or FTC to avoid double taxation"
"Germany","Yes","Good for income under $130K","Recommended (high-tax country)","No special expat tax regime","~14-45% progressive + solidarity surcharge","High taxes make FTC more beneficial than FEIE for most"
"Mexico","Yes","Excellent (low/moderate tax)","Available if needed","No special expat regime; Temporary Residents pay only on Mexican-source income","1.92-35% progressive","FEIE covers most expat income; Mexican tax moderate"
"Costa Rica","No treaty","Excellent (territorial tax)","Limited use","Territorial taxation (only Costa Rica-source income taxed for residents)","0-25% on Costa Rica income only","FEIE ideal; Costa Rica doesn't tax foreign income"
"Italy","Yes","Good for income under $130K","Use for high income","Flat tax regime for new residents (€100K-€200K annual flat tax for HNWIs)","23-43% progressive + regional/municipal","Saving clause; FEIE or FTC recommended"
"France","Yes","Limited benefit (high tax)","Recommended (high-tax country)","Limited; some regional incentives","0-45% progressive + social charges (~9-17%)","Very high taxes; FTC usually better than FEIE"
"Canada","Yes","Limited benefit (high tax)","Recommended (high-tax country)","No special expat regime","15-33% federal + 5-21% provincial","High taxes; FTC typically better; totalization agreement for Social Security"
"Netherlands","Yes","Limited benefit (high tax)","Recommended","30% Ruling:30% of gross salary tax-free for highly skilled migrants (5 years)","36.97-49.5% progressive","30% ruling significant benefit; otherwise high taxes favor FTC"
"Australia","Yes","Limited benefit (high tax)","Recommended","No special expat regime","19-45% progressive + 2% Medicare levy","High taxes; FTC recommended; no totalization with U.S."
"New Zealand","Yes","Good for income under $130K","Use for high income","No special expat regime","10.5-39% progressive","FEIE or FTC depending on income level"
"UK","Yes","Limited benefit (high tax)","Recommended","No special regime (Non-Dom status ended 2025)","20-45% progressive + National Insurance","High taxes; FTC typically better than FEIE"
"Ireland","Yes","Good for income under $130K","Use for high income","Special Assignee Relief Program (SARP) for certain employees","20-40% progressive + USC (0.5-8%) + PRSI (4%)","FEIE or FTC; SARP can reduce Irish tax burden"
"Uruguay","No treaty","Excellent (territorial tax)","Limited use","Territorial taxation for first 5 years (foreign income not taxed)","0-36% on Uruguay-source only (first 5 years)","FEIE ideal; Uruguay territorial system very favorable"
"Thailand","Yes","Excellent (territorial tax)","Limited use","Territorial taxation (foreign income not taxed if not remitted)","0-35% progressive on Thai income","FEIE + territorial tax = minimal double taxation"
"Japan","Yes","Limited benefit (moderate tax)","Use if needed","No special expat regime","5-45% progressive + residence tax (~10%)","FEIE or FTC depending on income; totalization agreement available"
"Argentina","Yes","Good for income under $130K","Use if needed","Territorial taxation (foreign income generally not taxed)","5-35% progressive on Argentine income","FEIE + territorial system = favorable for expats"